movieCd,movieNm,audiAcc
20186202,신과함께-인과 연,12128608
20181181,미션 임파서블: 폴아웃,6567099
20183361,인크레더블 2,2998015
20186501,극장판 헬로카봇 : 백악기 시대,854230
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,667879
20170942,인랑,891308
20181942,맘마미아!2,2159125
20186121,어느 가족,123887
20180522,앤트맨과 와스프,5444801
20185341,마녀,3188405
20179101,공작,4879586
20184802,몬스터 호텔 3,1023630
20187427,명탐정 코난 : 제로의 집행인,377257
20170670,목격자,2453638
20183584,메가로돈,515536
20187641,극장판 도라에몽: 진구의 보물섬,138640
20153446,너의 결혼식,1949364
20187647,나를 차버린 스파이,235053
20187657,마일22,51350
20185046,서치,570893
20177537,상류사회,508651
20139221,그래비티,3262924
